                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6629,                 2.9334,                 1.4572,                0.54148,                0.53966,                0.46213,                0.22853,                 1.8504,                 1.8561,                 1.0998,               0.070194,              0.0033118,              0.0033118
                      1,                 2.3756,                 2.1569,                 1.2826,                0.44168,                0.54105,                0.45517,                0.23218,                 1.8657,                  1.829,                  1.109,                0.03993,               0.006382,               0.006382
                      2,                 2.3173,                 2.0534,                 1.2619,                0.39228,                0.42654,                0.34805,                0.16868,                  1.986,                 1.8276,                 1.1092,              0.0094033,              0.0091882,              0.0091882
                      3,                 2.2704,                 1.9052,                 1.2333,                 0.4548,                0.53014,                0.46974,                0.21893,                 1.9032,                 1.5624,                 1.1004,               0.008812,               0.008812,               0.008812
                      4,                 2.2211,                 1.8018,                 1.2234,                  0.484,                0.57057,                0.47468,                0.24357,                  1.873,                 1.5303,                 1.0828,               0.008812,               0.008812,               0.008812
                      5,                  2.175,                 1.7185,                  1.204,                0.49394,                0.59025,                0.48565,                0.20463,                 1.9833,                 1.5445,                 1.1219,               0.008416,               0.008416,               0.008416
                      6,                 2.1115,                 1.6168,                 1.1862,                0.54048,                0.60862,                0.52951,                0.23077,                 1.9934,                 1.5242,                 1.1245,                0.00802,                0.00802,                0.00802
                      7,                 2.0605,                 1.5869,                 1.1681,                0.57975,                0.58547,                0.54619,                0.24882,                 1.8944,                 1.4657,                 1.1009,               0.007624,               0.007624,               0.007624
                      8,                 2.0059,                  1.498,                 1.1488,                 0.5785,                0.59322,                0.57198,                0.27288,                 1.8477,                 1.4101,                 1.0825,               0.007228,               0.007228,               0.007228
                      9,                 1.9782,                 1.4438,                 1.1382,                 0.5331,                0.55015,                0.51581,                0.23345,                 2.1436,                 1.4143,                 1.1673,               0.006832,               0.006832,               0.006832
                     10,                 1.9577,                 1.4096,                 1.1298,                0.57963,                0.59174,                0.54573,                0.27737,                  1.954,                 1.3418,                 1.1137,               0.006436,               0.006436,               0.006436
                     11,                 1.8904,                  1.351,                 1.1067,                 0.5914,                0.53524,                0.52594,                0.26654,                 1.9138,                 1.3827,                 1.0956,                0.00604,                0.00604,                0.00604
                     12,                 1.8878,                 1.3368,                 1.1117,                0.57838,                0.60041,                0.56993,                0.27093,                 1.9732,                 1.3936,                  1.119,               0.005644,               0.005644,               0.005644
                     13,                 1.8532,                  1.312,                 1.0984,                0.64438,                0.62871,                0.65796,                 0.3422,                  1.869,                 1.3858,                 1.0889,               0.005248,               0.005248,               0.005248
                     14,                 1.8317,                  1.297,                 1.0939,                0.66518,                 0.6371,                0.62912,                  0.297,                 1.9913,                 1.3513,                 1.1375,               0.004852,               0.004852,               0.004852
                     15,                 1.8152,                 1.2714,                 1.1205,                0.61497,                0.62087,                0.59712,                0.29587,                 2.0032,                 1.3629,                 1.1257,               0.004456,               0.004456,               0.004456
                     16,                 1.7731,                 1.2361,                 1.1063,                0.61454,                0.64911,                0.58071,                0.28465,                 1.8933,                 1.3123,                 1.0959,                0.00406,                0.00406,                0.00406
                     17,                  1.744,                 1.2115,                 1.0954,                0.59847,                 0.6106,                 0.5971,                0.29104,                 2.0272,                 1.3094,                  1.134,               0.003664,               0.003664,               0.003664
                     18,                 1.7282,                 1.1757,                 1.0892,                0.59105,                0.66997,                0.62082,                0.30869,                 1.7966,                 1.2281,                 1.0708,               0.003268,               0.003268,               0.003268
                     19,                 1.6775,                 1.1501,                 1.0727,                  0.688,                0.60184,                0.62702,                0.30404,                 1.9173,                 1.2603,                 1.0956,               0.002872,               0.002872,               0.002872
                     20,                 1.6653,                 1.1203,                 1.0734,                0.67247,                0.64659,                 0.6231,                0.30217,                 1.9925,                    1.3,                  1.122,               0.002476,               0.002476,               0.002476
                     21,                 1.6367,                 1.0966,                 1.0582,                0.58354,                 0.6397,                0.58329,                0.28123,                 2.0596,                  1.336,                 1.1466,                0.00208,                0.00208,                0.00208
                     22,                 1.5957,                  1.062,                 1.0446,                0.61851,                0.59917,                0.57941,                0.28762,                 1.9236,                 1.3072,                 1.1016,               0.001684,               0.001684,               0.001684
                     23,                 1.5704,                  1.047,                 1.0386,                0.58063,                0.64314,                0.61638,                0.31248,                 1.9624,                 1.2107,                 1.1068,               0.001288,               0.001288,               0.001288
                     24,                 1.5505,                 1.0193,                 1.0371,                0.59721,                0.68922,                0.62539,                0.31003,                 1.9316,                  1.234,                 1.0977,               0.000892,               0.000892,               0.000892
